Date,EURUSD,US3M,EUR3M,EUR3M fwd,EURIBOR
9/3/2001,0.9075,3.46563,4.254,-18.1,4.254
9/4/2001,0.8889,3.46625,4.258,-17.55,4.258
9/5/2001,0.8865,3.52,4.276,-17.55,4.276
9/6/2001,0.8957,3.52,4.279,-17.9,4.279
9/7/2001,0.9075,3.48625,4.264,-19.7,4.264
9/10/2001,0.898,3.36,4.242,-19.9,4.242
9/11/2001,0.9131,3.36,4.242,-20.7,4.242
9/12/2001,0.9066,3.15625,4.176,-22.4,4.176
9/13/2001,0.911,3.15,4.165,-22.75,4.165
9/14/2001,0.9207,3.15,4.16,-21.75,4.16
9/17/2001,0.9247,3.11,4.137,-19.95,4.137
9/18/2001,0.9271,2.965,3.779,-21.5,3.779
9/19/2001,0.9267,2.78313,3.76,-25.05,3.76
9/20/2001,0.9277,2.6025,3.701,-25.55,3.701
9/21/2001,0.9149,2.615,3.69,-24.8,3.69
9/24/2001,0.9171,2.6,3.661,-24,3.661
9/25/2001,0.9228,2.6,3.654,-24.1,3.654
9/26/2001,0.9231,2.59125,3.648,-24.15,3.648
9/27/2001,0.9183,2.6,3.655,-24.9,3.655
9/28/2001,0.9114,2.59,3.656,-24.2,3.656
10/1/2001,0.9175,2.6,3.656,-24.15,3.656
10/2/2001,0.9189,2.5925,3.651,-26.25,3.651
10/3/2001,0.9145,2.5,3.622,-25.25,3.622
10/4/2001,0.9178,2.5,3.598,-25.2,3.598
10/5/2001,0.9183,2.48125,3.558,-25.8,3.558
10/8/2001,0.9205,2.44,3.557,-26.9,3.557
10/9/2001,0.9132,2.43125,3.582,-27.95,3.582
10/10/2001,0.911,2.43,3.624,-28.15,3.624
10/11/2001,0.9023,2.43,3.614,-28.6,3.614
10/12/2001,0.9115,2.45625,3.656,-28.3,3.656
10/15/2001,0.9092,2.43125,3.636,-28.45,3.636
10/16/2001,0.9084,2.42,3.626,-29.95,3.626
10/17/2001,0.9036,2.41,3.645,-28.8,3.645
10/18/2001,0.9031,2.39,3.633,-29.3,3.633
10/19/2001,0.8992,2.36625,3.607,-28.7,3.607
10/22/2001,0.892,2.3525,3.58,-28.55,3.58
10/23/2001,0.8905,2.35,3.579,-29.15,3.579
10/24/2001,0.8942,2.33,3.575,-28.35,3.575
10/25/2001,0.8925,2.31,3.563,-30.25,3.563
10/26/2001,0.893,2.28,3.579,-30,3.579
10/29/2001,0.9054,2.27,3.576,-30.05,3.576
10/30/2001,0.9046,2.23,3.558,-31.75,3.558
10/31/2001,0.9005,2.2,3.522,-30.6,3.522
11/1/2001,0.9025,2.21,3.512,-30.3,3.512
11/2/2001,0.9027,2.2,3.499,-31,3.499
11/5/2001,0.8977,2.165,3.491,-30.9,3.491
11/6/2001,0.8947,2.135,3.467,-31.75,3.467
11/7/2001,0.8976,2,3.371,-30.9,3.371
